Timepoint,Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
2026-02-01T18:04:57.553496+0400,537359,42945640,537359,8140,8192,117,66.931,412.548,1000,6226,5005,2092,0,1221,0,8264884,6615040,0,5020500,45,6.94506,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:05:07.418252+0400,547224,42945640,547224,8123,8192,33,67.544,534.132,1000,5828,4994,1488,0,834,0,7725108,6604404,0,5037000,47,6.26481,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:05:16.937621+0400,556743,42945640,556743,8140,8192,13,66.971,421.02,1000,6115,5017,1951,0,1098,0,8108284,6624968,0,5028000,43,6.81413,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:05:26.554343+0400,566360,42945640,566360,8093,8192,89,66.881,1195.74,1000,6269,4980,2274,0,1289,0,8318100,6577468,0,5020500,53,6.9197,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:05:36.357266+0400,576163,42945640,576163,8128,8192,2,66.97,1206.22,1000,6227,5020,2117,0,1207,0,8246316,6623784,0,5035500,41,6.72968,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:05:45.831912+0400,585637,42945640,585637,8145,8192,20,67.264,1400.83,1000,5993,4990,1634,0,1003,0,7956276,6604228,0,5032500,42,6.71798,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:05:55.458737+0400,595264,42945640,595264,8157,8192,134,67.352,1228.74,1000,6066,5006,1805,0,1060,0,8053676,6623356,0,5028000,41,6.69268,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:06:05.258701+0400,605064,42945640,605064,8150,8192,34,67.816,792.888,1000,5714,4982,1171,0,732,0,7561420,6576428,0,5032500,45,6.17259,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:06:14.945585+0400,614751,42945640,614751,8164,8192,25,66.929,248.832,1000,6382,5004,2252,0,1378,0,8472720,6612740,0,5017500,43,6.99727,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:06:24.604033+0400,624409,42945640,624409,8132,8192,111,66.745,51.42,1000,6250,4975,2191,0,1275,0,8300908,6577812,0,5050500,30,6.87556,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:06:34.196742+0400,634002,42945640,634002,8134,8192,7,67.308,101.772,1000,6051,5025,1794,0,1026,0,8022184,6636976,0,5034000,47,6.69023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:06:43.941807+0400,643747,42945640,643747,8125,8192,18,67.466,726.624,1000,6411,4993,2264,0,1418,0,8511972,6593456,0,0,0,6.98773,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:06:54.189979+0400,653995,42945640,653995,8127,8192,5,67.117,277.224,1000,6042,5019,1861,0,1023,0,7995280,6616972,0,5037000,46,6.24132,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:07:03.883793+0400,663689,42945640,663689,8137,8192,3,67.317,224.856,1000,5986,5000,1723,0,986,0,7932280,6605044,0,5017500,54,6.54626,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:07:13.552037+0400,673357,42945640,673357,8110,8192,84,66.617,862.68,1000,5375,4985,583,0,390,0,7107336,6580696,0,5034000,43,5.88097,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:07:23.348817+0400,683154,42945640,683154,8135,8192,5,66.848,318.564,1000,5670,4998,1087,0,672,0,7509476,6602700,0,5047500,52,6.1322,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:07:32.944304+0400,692750,42945640,692750,8167,8192,34,66.878,1086.46,1000,5945,5006,1589,0,939,0,7890432,6627680,0,5020500,46,6.57846,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:07:42.424830+0400,702230,42945640,702230,8150,8192,36,66.918,381.384,1000,6113,4986,1887,0,1127,0,8114212,6592960,0,5025000,50,6.84707,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:07:52.352625+0400,712158,42945640,712158,8125,8192,6,67.411,1451.27,1000,5822,5023,1386,0,799,0,7713940,6635572,0,5038500,49,6.21603,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:01.924427+0400,721730,42945640,721730,8131,8192,21,68.498,1223.9,1000,6374,4998,2440,0,1376,0,8475000,6612664,0,5022000,57,7.08328,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:11.417132+0400,731222,42945640,731222,8160,8192,115,67.107,734.532,1000,6004,4942,1837,0,1062,0,7966160,6530112,0,5032500,51,6.7135,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:21.260562+0400,741066,42945640,741066,8160,8192,35,67.035,801.54,1000,6160,5060,1881,0,1100,0,8155948,6677808,0,5038500,45,6.62854,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:30.711345+0400,750517,42945640,750517,8128,8192,7,67.131,88.956,1000,5712,4977,1210,0,735,0,7575056,6587676,0,5026500,47,6.41222,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:40.514951+0400,760320,42945640,760320,8101,8192,83,66.974,108.576,1000,5782,5026,1268,0,756,0,7665556,6641908,0,5031000,40,6.2553,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:50.196343+0400,770002,42945640,770002,8115,8192,5,66.94,1827.65,1000,6117,4983,1921,0,1134,0,8103860,6573464,0,5029500,54,6.69644,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:08:59.781568+0400,779587,42945640,779587,8146,8192,25,66.833,625.956,1000,6467,5018,2441,0,1449,0,8590764,6633660,0,5029500,51,7.17001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:09:09.450595+0400,789256,42945640,789256,8124,8192,41,67.226,751.62,1000,5685,4957,1148,0,728,0,7535140,6550700,0,5040000,46,6.23445,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:09:19.263806+0400,799069,42945640,799069,8144,8192,29,67.041,863.964,1000,6522,5046,2733,0,1476,0,8666504,6669296,0,5032500,46,7.06517,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:09:28.780965+0400,808586,42945640,808586,8156,8192,47,67.334,651.432,1000,6237,4983,2283,0,1254,0,8280596,6589820,0,5026500,44,6.96061,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:09:38.422043+0400,818227,42945640,818227,8112,8192,69,67.666,1019,1000,5987,4966,1683,0,1021,0,7930444,6554668,0,0,0,6.58052,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:09:48.170650+0400,827976,42945640,827976,8152,8192,37,67.44,862.224,1000,6085,5051,1671,0,1034,0,8085532,6693204,0,5035500,43,6.63521,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:09:57.783330+0400,837589,42945640,837589,8148,8192,4,67.08,736.824,1000,6194,4978,2038,0,1216,0,8208016,6564972,0,5023500,48,6.83099,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:10:07.469075+0400,847274,42945640,847274,8130,8192,109,67.059,2745.3,1000,5593,5003,969,0,590,0,7409644,6613636,0,5032500,45,6.12004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:10:17.270954+0400,857076,42945640,857076,8115,8192,4,67.173,1580.63,1000,6273,5001,2134,0,1272,0,8324104,6611480,0,5035500,45,6.79389,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:10:26.853618+0400,866659,42945640,866659,8165,8192,21,67.328,383.004,1000,6046,5015,1747,0,1031,0,8015760,6623752,0,5028000,53,6.69188,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:10:36.422451+0400,876228,42945640,876228,8160,8192,48,67.152,266.532,1000,6088,4936,1930,0,1152,0,8072692,6517628,0,5034000,44,6.74915,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:10:46.110895+0400,885916,42945640,885916,8126,8192,9,66.759,47.676,1000,5836,5041,1295,0,795,0,7732980,6664752,0,5037000,41,6.38532,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:10:55.904915+0400,895710,42945640,895710,8162,8192,39,67.897,800.064,1000,5672,5013,1048,0,659,0,7511444,6622724,0,5040000,44,6.13553,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:11:05.429870+0400,905235,42945640,905235,8118,8192,36,67.722,64.344,1000,5870,4941,1521,0,929,0,7788620,6535520,0,5026500,52,6.54165,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:11:15.113277+0400,914919,42945640,914919,8133,8192,4,66.931,745.452,1000,6111,5057,1811,0,1054,0,8111304,6692152,0,5028000,52,6.7012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:11:24.788041+0400,924593,42945640,924593,8171,8192,22,67.532,114.816,1000,6138,5001,1934,0,1137,0,8138812,6605840,0,5025000,48,6.72993,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:11:34.547634+0400,934353,42945640,934353,8143,8192,20,67.002,352.5,1000,5855,4967,1455,0,888,0,7776492,6574828,0,5049000,35,6.37444,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:11:44.272095+0400,944077,42945640,944077,8121,8192,3,67.591,411.6,1000,6486,5045,2455,0,1441,0,8615664,6671696,0,5038500,42,7.08783,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:11:53.790438+0400,953596,42945640,953596,8156,8192,21,67.028,762.12,1000,6434,5001,2481,0,1433,0,8544004,6606780,0,5017500,64,7.18108,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:12:03.434914+0400,963240,42945640,963240,8134,8192,45,67.241,1208.8,1000,6270,4949,2222,0,1321,0,8316076,6539632,0,5040000,45,6.89811,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:12:13.113961+0400,972919,42945640,972919,8134,8192,5,66.753,405.288,1000,6485,5026,2340,0,1459,0,8614680,6641532,0,0,0,7.12028,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:12:22.705697+0400,982511,42945640,982511,8164,8192,36,67.514,493.056,1000,6149,5013,1829,0,1136,0,8157720,6622536,0,5011500,63,6.80396,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:12:32.453075+0400,992258,42945640,992258,8122,8192,67,67.097,222.972,1000,5864,5013,1326,0,851,0,7764856,6618400,0,5037000,40,6.3729,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:12:41.953835+0400,1001759,42945640,1001759,8126,8192,6,66.801,360.984,1000,6101,4994,1900,0,1107,0,8092628,6598576,0,0,0,6.81433,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:12:51.703409+0400,1011509,42945640,1011509,8122,8192,36,67.063,735.636,1000,5760,4988,1277,0,772,0,7629808,6593236,0,5028000,45,6.26057,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:13:01.438296+0400,1021244,42945640,1021244,8145,8192,6,66.772,671.124,1000,6271,4983,2125,0,1288,0,8297696,6567824,0,5037000,45,6.81894,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
